,name,txt,compound,pos,neu,neg,timestamp
299,CNN Breaking News,"RT @CNNPolitics: Former Attorney General Loretta Lynch defends her handling of the Clinton email investigation, saying in a statement that…",0.0,0.0,1.0,0.0,2018-04-16 01:36:32
298,CNN Breaking News,"A 56-year-old Minnesota grandmother is wanted in connection to the murder of her husband and a Florida woman, whose… https://t.co/qNcORX5oNB",-0.6908,0.0,0.783,0.217,2018-04-17 14:04:12
297,CNN Breaking News,RT @CNNMoney: Martin Shkreli transferred to prison in New Jersey https://t.co/lbAI4RmPCn https://t.co/h0Ma3ouWAK,-0.5106,0.0,0.769,0.231,2018-04-18 17:51:07
296,CNN Breaking News,Fired FBI director James Comey sits down for an interview with Jake Tapper as his public war of words with Presiden… https://t.co/QTqW3zhArR,-0.8176,0.0,0.727,0.273,2018-04-19 20:00:03
295,CNN Breaking News,"The CDC says not to eat romaine lettuce in any form unless you can be sure it didn't come from the Yuma, Arizona, a… https://t.co/FF2Ks2RmXl",0.3182,0.087,0.913,0.0,2018-04-20 22:09:55
294,CNN Breaking News,"Sen. Bob Corker on Russia: ""Our relations are at that low point, the lowest since the Cuban Missile Crisis … We sho… https://t.co/MtOxdyJtR4",-0.8316,0.0,0.683,0.317,2018-04-22 13:34:53
293,CNN Breaking News,"It appears that the van crashing into pedestrians in Toronto was done deliberately, an official says… https://t.co/NbFdtHBvfZ",0.0,0.0,1.0,0.0,2018-04-23 20:12:41
292,CNN Breaking News,"At least 19 people were killed after gunmen opened fire at a church in Nigeria, police say https://t.co/wFawd9XTYZ https://t.co/6s166tAYNi",-0.7845,0.0,0.699,0.301,2018-04-24 21:56:21
291,CNN Breaking News,"Former FBI Director James Comey on President Donald Trump: ""I don't believe he's morally fit to be President of the… https://t.co/CXE3MxAoC6",0.3612,0.111,0.889,0.0,2018-04-26 00:15:00
290,CNN Breaking News,"Formal end to Korean War will be declared later this year, 65 years after hostilities ceased, North and South Korea… https://t.co/imVDa6oJmd",-0.7906,0.0,0.731,0.269,2018-04-27 09:07:57
289,CNN Breaking News,Thousands protest in Spain after five men were cleared of gang rape of an 18-year-old woman. They were convicted of… https://t.co/kf1c5WD5WW,-0.743,0.054,0.69,0.257,2018-04-28 19:13:26
288,CNN Breaking News,"President Trump is expected to speak at the National Rifle Association's annual meeting later this week in Dallas,… https://t.co/BpqbdrsEFx",0.0,0.0,1.0,0.0,2018-04-30 00:27:52
287,CNN Breaking News,Vatican treasurer Cardinal George Pell to face trial for alleged historical sexual abuse in case that has shaken Ca… https://t.co/5Ioy85zYjp,-0.6124,0.062,0.708,0.229,2018-05-01 00:45:01
286,CNN Breaking News,Follow live: President Trump participates in the swearing-in ceremony of Secretary of State Mike Pompeo… https://t.co/rICCZnB0Sb,0.0,0.0,1.0,0.0,2018-05-02 15:17:55
285,CNN Breaking News,Trump lawyer Rudy Giuliani says three Americans held in a North Korean prison are set to be released today… https://t.co/caikf4bXuN,-0.5106,0.0,0.845,0.155,2018-05-03 12:21:38
284,CNN Breaking News,"President Trump defends his new lawyer Rudy Giuliani, says he ""will get his facts straight"" after statements on por… https://t.co/fgTFSafDS3",0.2263,0.091,0.909,0.0,2018-05-04 14:26:28
283,CNN Breaking News,"A 16-year-old girl in India was allegedly kidnapped and gang-raped, then later burned to death after her parents co… https://t.co/Unl5gUTfMB",-0.5994,0.0,0.822,0.178,2018-05-05 21:14:56
282,CNN Breaking News,"More people say the US is doing better, a new CNN poll says, and Trump's rating for handling several key issues is… https://t.co/YkYF1BcYsP",0.4404,0.121,0.879,0.0,2018-05-07 20:06:37
281,CNN Breaking News,"Gina Haspel told a story at her Senate confirmation hearing of her first meeting with an agent on a ""dark, moonless… https://t.co/JwBbixO72k",0.0,0.0,1.0,0.0,2018-05-09 14:36:51
280,CNN Breaking News,The suspected Golden State Killer has been charged with four more counts of first-degree murder… https://t.co/jNf0XC90Hy,-0.7906,0.0,0.619,0.381,2018-05-10 22:21:48
279,CNN Breaking News,"At least two people were killed in explosions at three churches in Indonesia, a police official says… https://t.co/tFpESXcC0S",-0.6705,0.0,0.78,0.22,2018-05-13 02:14:55
278,CNN Breaking News,White House briefing with deputy press secretary Raj Shah. Watch CNN https://t.co/cDhamI1PRt https://t.co/dOwLEfQf7K,0.0,0.0,1.0,0.0,2018-05-14 18:19:30
277,CNN Breaking News,"Manhattan will stop prosecuting most low-level marijuana cases starting August 1, DA says https://t.co/xJKaApe9JC https://t.co/8HnMenMR2x",-0.296,0.0,0.864,0.136,2018-05-15 23:53:29
276,CNN Breaking News,"For the first time in the organization's history, Miss America will be led entirely by women -- and they're all for… https://t.co/nf0rse0klF",-0.1531,0.0,0.929,0.071,2018-05-17 18:00:25
275,CNN Breaking News,"Possible explosive devices found at scene of Texas school shooting and off campus, Santa Fe Independent School Dist… https://t.co/mEyGQNnANd",0.0,0.0,1.0,0.0,2018-05-18 16:36:18
274,CNN Breaking News,Melania Trump returns home to the White House after undergoing a kidney procedure at Walter Reed medical center on… https://t.co/KBs860QYfE,0.0,0.0,1.0,0.0,2018-05-19 14:42:25
99,BBC,"RT @BBCScotland: ""I hid it for quite a while""

Actor @GavsterNo1 talks about living with depression. https://t.co/v0TYxzuH03",-0.6249,0.0,0.733,0.267,2018-05-20 19:55:04
273,CNN Breaking News,RT @CNNPolitics: Gina Haspel is sworn-in as the new CIA director. She is the first female director to lead the agency https://t.co/eGiz87DW…,0.0,0.0,1.0,0.0,2018-05-21 15:09:22
98,BBC,RT @bbccomedy: It's 14 years since The Mighty Boosh graced our telly screens and 45 years today since @noelfielding11 graced our planet! No…,0.4753,0.163,0.837,0.0,2018-05-21 15:53:36
97,BBC,🚗🤔 Should philosophers be teaching driverless cars ethics?  https://t.co/cJtDesmqUA,0.0,0.0,1.0,0.0,2018-05-23 07:00:15
272,CNN Breaking News,RT @CNNMoney: Dow opens 130 points lower. Investors are concerned that the US will not reach a satisfactory trade deal with China. Investor…,-0.5242,0.0,0.779,0.221,2018-05-23 13:41:41
96,BBC,"RT @bbcwritersroom: 😂 Blackadder, Del Boy, Hyacinth Bucket, David Brent, Basil Fawlty - what quality do our favourite #comedy characters al…",0.4404,0.137,0.794,0.069,2018-05-24 10:09:05
271,CNN Breaking News,"Morgan Freeman responds to a CNN report on alleged inappropriate behavior, says he would not intentionally make any… https://t.co/i4wNNco2RS",0.4019,0.137,0.863,0.0,2018-05-24 18:15:07
95,BBC,"RT @bbcthree: In one sentence describe how being in debt has made you feel, and you might be included in a story we’re working on for #Debt…",-0.296,0.047,0.863,0.09,2018-05-25 13:43:35
270,CNN Breaking News,President Trump says talks continue and he remains open to holding a summit with North Korea's Kim Jong Un on June… https://t.co/tU1vIAbqSk,0.0,0.0,1.0,0.0,2018-05-25 14:07:22
94,BBC,"🎶#BiggestWeekend has kicked-off in Swansea with an @EdSheeran singalong! 🔊🏰

Watch now on @BBCiplayer:… https://t.co/i2d9TfxniC",0.0,0.0,1.0,0.0,2018-05-26 11:48:40
93,BBC,"An egg a day to keep the doctor away? 🍳 📈❤️️

A study of nearly half a million people in China suggests a daily egg… https://t.co/mJG6faeiYa",0.0,0.0,1.0,0.0,2018-05-26 19:03:09
